#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
un_conscription_center;Royal Conscription Center;;;;;;;;;;;;;x
un_conscription_center_desc;Royal Conscription Center;;;;;;;;;;;;;x
un_parliament;Parliament;;;;;;;;;;;;;x
un_parliament_desc;Parliament;;;;;;;;;;;;;x
un_inquisition;Holy Inquisition;;;;;;;;;;;;;x
un_inquisition_desc;Holy Inquisition;;;;;;;;;;;;;x
un_army_academy;Royal Army Academy;;;;;;;;;;;;;x
un_army_academy_desc;Royal Army Academy;;;;;;;;;;;;;x
un_diplomatic_cabinet;Diplomatic Cabinet;;;;;;;;;;;;;x
un_diplomatic_cabinet_desc;Diplomatic Cabinet;;;;;;;;;;;;;x
un_secret_agency;Secret Agency;;;;;;;;;;;;;x
un_secret_agency_desc;Secret Agency;;;;;;;;;;;;;x
un_revenue_bureau;Revenue Bureau;;;;;;;;;;;;;x
un_revenue_bureau_desc;Revenue Bureau;;;;;;;;;;;;;x

printing_press;Printing Press;;;;;;;;;;;;;x
double_entry_bookkeeping;Double Entry Bookkeeping;;;;;;;;;;;;;x
arquebusiers;Arquebusiers;;;;;;;;;;;;;x

has_parliament;Has Parliament;;;;;;;;;;;;;x
has_secret_agency;Has Secret Agency;;;;;;;;;;;;;x
has_army_academy;Has Army Academy;;;;;;;;;;;;;x
has_diplomatic_cabinet;Has Diplomatic Cabinet;;;;;;;;;;;;;x
has_holy_inquisition;Has Holy Inquisition;;;;;;;;;;;;;x
has_revenue_bureau;Has Revenue Bureau;;;;;;;;;;;;;x
